iter	Passed	Remaining
621	1158	703
622	1160	701
623	1161	700
624	1163	698
625	1165	696
626	1167	694
627	1168	692
628	1170	690
629	1172	688
630	1174	686
631	1175	684
632	1177	682
633	1179	680
634	1181	678
635	1182	676
636	1184	674
637	1186	673
638	1187	671
639	1189	669
640	1191	667
641	1193	665
642	1194	663
643	1196	661
644	1198	659
645	1199	657
646	1201	655
647	1203	653
648	1205	651
649	1206	649
650	1208	647
651	1210	645
652	1211	643
653	1213	642
654	1215	640
655	1217	638
656	1218	636
657	1220	634
658	1222	632
659	1224	630
660	1225	628
661	1227	626
662	1229	624
663	1231	622
664	1232	621
665	1234	619
666	1236	617
667	1237	615
668	1239	613
669	1241	611
670	1243	609
671	1244	607
672	1246	605
673	1248	603
674	1249	601
675	1251	599
676	1253	597
677	1254	595
678	1256	594
679	1258	592
680	1260	590
681	1261	588
682	1263	586
683	1265	584
684	1266	582
685	1268	580
686	1270	578
687	1272	576
688	1273	574
689	1275	573
690	1277	571
691	1278	569
692	1280	567
693	1282	565
694	1284	563
695	1285	561
696	1287	559
697	1289	557
698	1290	555
699	1292	553
700	1294	551
701	1295	550
702	1297	548
703	1299	546
704	1300	544
705	1302	542
706	1304	540
707	1305	538
708	1307	536
709	1309	534
710	1311	532
711	1312	531
712	1314	529
713	1316	527
714	1317	525
715	1319	523
716	1321	521
717	1323	519
718	1325	517
719	1326	515
720	1328	514
721	1330	512
722	1331	510
723	1333	508
724	1335	506
725	1336	504
726	1338	502
727	1340	500
728	1341	498
729	1343	496
730	1345	495
731	1346	493
732	1348	491
733	1350	489
734	1352	487
735	1353	485
736	1355	483
737	1357	481
738	1359	480
739	1360	478
740	1362	476
741	1364	474
742	1366	472
743	1367	470
744	1369	468
745	1371	466
746	1372	465
747	1374	463
748	1376	461
749	1378	459
750	1379	457
751	1381	455
752	1383	453
753	1385	451
754	1386	450
755	1388	448
756	1390	446
757	1392	444
758	1393	442
759	1395	440
760	1397	438
761	1399	436
762	1400	435
763	1402	433
764	1404	431
765	1405	429
766	1407	427
767	1409	425
768	1412	424
769	1414	422
770	1415	420
771	1417	418
772	1419	416
773	1421	414
774	1422	413
775	1424	411
776	1426	409
777	1427	407
778	1429	405
779	1431	403
780	1433	401
781	1434	399
782	1436	398
783	1438	396
784	1439	394
785	1441	392
786	1443	390
787	1445	388
788	1446	386
789	1448	385
790	1450	383
791	1451	381
792	1453	379
793	1455	377
794	1457	375
795	1458	373
796	1460	372
797	1462	370
798	1464	368
799	1465	366
800	1467	364
801	1469	362
802	1470	360
803	1472	359
804	1474	357
805	1476	355
806	1477	353
807	1479	351
808	1481	349
809	1483	347
810	1485	346
811	1486	344
812	1489	342
813	1491	340
814	1492	338
